Date,MaxTemp,MinTemp,Rainfall,Humidity,Evapotranspiration
2018-11-01,22.33,5.71,0,25.31,2.6
2018-11-02,21.29,5.69,0,27.38,2.5
2018-11-03,18.16,5.16,0,38.12,2.7
2018-11-04,13.8,5.07,1.2,70.5,1.7
2018-11-05,11.08,5.88,2.28,85.81,1.4
2018-11-06,15.94,6.91,0.33,77.06,1.7
2018-11-07,15.51,5.15,0.07,75.94,1.6
2018-11-08,15.9,4.84,0,71.62,1.7
2018-11-09,14.71,3.69,0.05,76.81,1.6
2018-11-10,13.51,5.91,0.21,80.19,1.4
2018-11-11,13.25,6.44,0.64,82.88,1.4
2018-11-12,14.15,4.79,2.73,78.31,1.4
2018-11-13,14.37,3.29,7.89,79.69,1.5
2018-11-14,11.8,5.3,4.42,86.19,1.2
2018-11-15,12.96,2.61,0.07,72.38,1.6
2018-11-16,11.14,1.73,5.82,88.06,1.2
2018-11-17,14.68,4.58,0.09,72.75,1.5
2018-11-18,17.01,4.44,0,65.94,1.7
2018-11-19,16.93,5.3,0,58.75,1.9
2018-11-20,18.08,7.3,0,53.25,1.8
2018-11-21,12.67,5.75,2.82,78.62,1.3
2018-11-22,11.56,5.22,3.15,85.06,1.2
2018-11-23,10.12,3.83,5.08,80.56,1.1
2018-11-24,11.36,3.62,1.81,83.12,1.1
2018-11-25,11.4,3.4,1.94,87.06,1.1
2018-11-26,12.88,5.4,1.13,84.19,1.2
2018-11-27,14.07,4.75,0.07,73.69,1.4
2018-11-28,17.65,3.75,0,70.5,1.9
2018-11-29,14.5,6.89,0.03,88.38,1.2
2018-11-30,15.36,5.83,0.81,77.94,1.3
2018-12-01,10.24,3.32,2.52,90.38,0.9
2018-12-02,12.73,3.54,0.4,85.38,1.1
2018-12-03,11.5,2.47,0,84.81,1.2
2018-12-04,12.63,1.75,0.58,87,1.1
2018-12-05,9.42,0.94,1.55,88.62,1
2018-12-06,6.43,1.78,5.55,95.56,0.6
2018-12-07,7.91,3.87,18.72,95.31,0.7
2018-12-08,8.76,5.56,6.1,93.31,0.8
2018-12-09,9.87,3.54,2.11,88.75,0.9
2018-12-10,10.64,2.03,1.16,88.5,1
2018-12-11,10.08,5.64,9.67,90.06,1
2018-12-12,10.43,4.66,9.18,92,0.9
2018-12-13,6.92,0.6,0.35,86.88,0.9
2018-12-14,10.85,-0.9,0,79.19,1
2018-12-15,10.93,-0.67,0,78.69,1.2
2018-12-16,10.25,2.57,1.81,94.25,0.8
2018-12-17,10.45,4.25,7.08,85.81,1
2018-12-18,11.15,4.54,6.76,90.44,0.9
2018-12-19,10.33,1.32,9.87,82.75,1.2
2018-12-20,6.66,3.33,13,94.56,0.7
2018-12-21,9.52,2.17,0.88,89.62,0.9
2018-12-22,8.96,0.37,0.03,89.81,0.8
2018-12-23,10.17,0.31,0.34,85.12,0.9
2018-12-24,8.08,0.19,2.63,94.94,0.7
2018-12-25,10.75,-0.04,0.01,75,1.2
2018-12-26,9.14,-0.67,0.62,87.62,1
2018-12-27,4.97,1.38,26.54,94.75,0.6
2018-12-28,4.55,1.37,3.24,91.94,0.7
2018-12-29,5.69,1.52,6.13,93.56,0.7
2018-12-30,4.95,2.51,9.5,94.06,0.6
2018-12-31,5.83,1.8,2.65,91.19,0.8
2019-01-01,8.15,-1.21,0.07,83.62,1
2019-01-02,7.57,-1.42,3.31,86.69,0.9
2019-01-03,5.89,0.91,8.06,93.44,0.7
2019-01-04,8.4,0.37,0.03,78.44,1.2
2019-01-05,9.16,-0.26,0.65,74.06,1.1
2019-01-06,3.96,0.33,24.74,92.81,0.6
2019-01-07,2.07,-0.08,38.23,95.75,0.5
2019-01-08,2.72,-0.1,39.79,96.56,0.5
2019-01-09,0.5,-3.75,7.96,94.94,0.5
2019-01-10,3.07,-4.99,0.26,91.62,0.7
2019-01-11,5.34,-5.32,0,87.44,0.8
2019-01-12,8.4,-3.1,0,73.5,1.1
2019-01-13,6.03,-1.46,15.38,78.69,1.2
2019-01-14,5.15,0.9,17.65,94.69,0.7
2019-01-15,5.63,-2.01,0.5,88.12,0.9
2019-01-16,2.3,-1.89,36,95.44,0.5
2019-01-17,1.49,-4.78,2.08,93.5,0.6
2019-01-18,3.47,-4.42,0,92.56,0.8
2019-01-19,5.55,-3.49,0,71.56,1
2019-01-20,6.27,-1,0,70.75,1.1
