date,I-FVC,R-FVC,I-fpar,R-fpar,I-EVI,R-EVI,I-LAI,R-LAI,I-NDVI,R-NDVI,I-RVI,R-RVI
11/12/2018,0.05481638,0.058903188,0.122897759,0.126922771,0.040105149,0.045202609,0.146433428,0.163448989,0.090045176,0.101814292,0.155714004,0.286212329
1/21/2019,0.630799234,0.596493721,0.706824839,0.71261543,0.272195011,0.350411534,1.595011234,1.46369493,0.815661788,0.827509642,0.531150335,0.358766803
1/26/2019,0.607139409,0.582346022,0.714370787,0.71314162,0.593684852,0.647501349,1.659816861,1.543409348,0.810191691,0.831082463,0.6075236,0.387648505
1/31/2019,0.776291847,0.697686195,0.816839159,0.786450446,0.617693186,0.667527556,2.778042555,2.193220139,0.76473099,0.799483895,0.614741672,0.410751487
2/5/2019,0.72675997,0.643381,0.79169029,0.757531345,0.661568761,0.740686595,2.358330488,1.927932978,0.916996956,0.900446951,0.598422074,0.488174886
2/20/2019,0.814310551,0.680914104,0.855022609,0.768548429,0.698132634,0.743524373,3.234313965,2.210671663,0.924651504,0.891482711,0.81138745,0.638827658
3/12/2019,0.803375065,0.628095746,0.853680849,0.707271457,0.726209223,0.711360931,3.513349056,2.07053256,0.914037704,0.84435451,0.88182711,0.791989266
4/11/2019,0.784640491,0.58490175,0.840790629,0.665451944,0.721882224,0.625416517,3.87849617,2.191625834,0.945844114,0.85885638,0.80376856,0.661337963
5/1/2019,0.648168027,0.462450415,0.70174551,0.530020356,0.717859805,0.559614718,2.408967495,1.321344972,0.727054298,0.601638496,0.747656611,0.461444227
5/11/2019,0.784545779,0.654913247,0.807770252,0.698139966,0.594236314,0.497291982,3.735531092,2.397723675,0.846367419,0.740831316,0.610079105,0.519079771
5/19/2019,0.770002961,0.501261294,0.79896605,0.562231719,0.640858948,0.422742993,3.571285963,1.570162058,0.898940086,0.680589736,0.613587443,0.530704052
5/21/2019,0.518771112,0.32821992,0.596126258,0.393975198,0.398664057,0.283993691,1.489572048,0.862864614,0.581926286,0.445534319,0.57403505,0.479191842
6/15/2019,0.163318619,0.120321125,0.316031694,0.193691418,0.169825405,0.158647269,0.530558646,0.444912404,0.239669442,0.239807069,0.426892275,0.265365393
