I-EVI,R-EVI,I-fPAR,R-fPAR,I-FVC,R-FVC,I-LAI,R-LAI,I-NDVI,R-NDVI,I-RVI,R-RVI
0.002767631,0,0,0.015587035,0,0.005734776,0,0.011847548,0.004375843,0,0.1,0.154073239
0.033383135,0.029251496,0.083789718,0.077482192,0.032196685,0.029713185,0.006702145,0.00163387,0.077973374,0.073602308,0.1,0.062694512
0.076973076,0.083437381,0.131993981,0.128971765,0.061625515,0.057822734,0.041648365,0.040290484,0.142234825,0.147502747,0.1,0.055563786
0.251177984,0.263219999,0.321069234,0.320828023,0.207418123,0.21022199,0.170914787,0.17055509,0.34721662,0.363828308,0.4,0.497492224
0.302699368,0.316596087,0.342916558,0.333974976,0.249145499,0.246342901,0.179828833,0.176347029,0.345561279,0.36670524,0.5,0.669888075
0.578156089,0.540667805,0.677821207,0.627191445,0.562604265,0.520521727,0.336954286,0.305274085,0.44599194,0.418828702,0.8,0.841300637
0.761350632,0.703068953,0.90937635,0.851703487,0.855202795,0.778359142,0.736081056,0.642468319,0.718464761,0.681545962,0.8,0.990322053
1,0.911459654,1,0.948834839,1,0.937792697,1,0.88886997,1,0.95595421,0.8,0.922129199
0.438871204,0.413163839,0.501299232,0.479631505,0.448353378,0.421860524,0.236204225,0.229159408,0.431257117,0.42211613,0.9,0.869075047
0.253196974,0.231645623,0.261680535,0.255059212,0.185770299,0.175946004,0.217312191,0.181887906,0.232604154,0.223782514,0.8,0.817804197
0.203389394,0.197508305,0.200773233,0.198125214,0.138629667,0.147966857,0.240017144,0.172192345,0.182881578,0.190453655,0.8,0.761296263
0.157226371,0.135882539,0.229927196,0.225611996,0.127728447,0.127728447,0.173972971,0.159611736,0.140474077,0.130738316,0.6,0.672717906
0.143717572,0.13217942,0.21023662,0.217177778,0.106123532,0.121060602,0.160113109,0.154549615,0.126353502,0.11936829,0.5,0.688301596
